'LSNAME_Starter Nests',0.018886824
'LSNAME_Midlife Families',0.018669153
'LSNAME_Older Parents,0.017993186
'LSNAME_Growing Families',0.017479515
'NAME_Unclassified',0.016705186
'LSNAME_Prosperous Parents',0.016022775
'NAME_Exurban Wonderland',0.015414254
'SGNAME_Unassigned',0.014759735
'SGNAME_Suburban Younger',0.014318536
'SGNAME_Urban Downscale',0.013666164
'LSNAME_Unassigned',0.013612356
'NAME_Satellite Burbs',0.013561501
'SGNAME_Suburban Older',0.013511007
'LSNAME_Nearly Retired',0.013101005
'NAME_Low-Rise Renters',0.012361176
'SGNAME_Suburban Elite',0.012227939
'LSNAME_Later Years',0.01219651
'LSNAME_Families with Tweens',0.012072862
'SGNAME_Urban Elite',0.011900065
'LSNAME_Older Families',0.011843232
'LSNAME_Young Diverse Families',0.011343687
'SGNAME_Exurban Middle-Aged',0.011331634
'NAME_Fresh Air Families',0.011300286
'NAME_Urbane Villagers',0.011255031
'NAME_Second City Retirees',0.011171589
'NAME_Trucks & Trades',0.010915131
'NAME_Striving Startups',0.010216653
'NAME_Our Time',0.010020103
NAME_Lunch at Tim's,0.009680613
'NAME_Aging in Suburbia',0.009672381
'NAME_Suburban Scramble',0.009108796
'SGNAME_Urban Older',0.008947536
'NAME_Boomerang City',0.008329731
'LSNAME_Singles Scene',0.008267186
'NAME_Traditional Town Living',0.008151839
'LSNAME_Midlife Quebec Families',0.008149125
'NAME_La Vie est Belle',0.008014841
'NAME_Kids & Careers',0.007944166
'NAME_Vieille _cole',0.007658538
'SGNAME_Suburban Upscale Diverse',0.007499359
'NAME_Pets & PCs',0.007474349
'NAME_Diversity Heights',0.007447997
'SGNAME_Town Mix',0.007432318
'NAME_Sunset Towers',0.00725819
'NAME_Serenity Springs',0.006971047
'SGNAME_Rural Midscale',0.006813471
'NAME_Metro Multiculturals',0.006039266
'NAME_New World Symphony',0.005934697
'NAME_Fête au Village',0.00590941
'NAME_Cosmopolitan Elite',0.00590479
'NAME_Villes Tranquilles',0.00585244
'NAME_Management Material',0.00583636
'SGNAME_Urban Upscale Diverse',0.005517981
'NAME_Mini Van & Vin Rouge',0.005497038
'NAME_Variété Suburbaine',0.005479443
'NAME_Outdoor Originals',0.005384839
'NAME_Suburban Success',0.005326236
'SGNAME_Exurban Francophone',0.005241616
'NAME_Bons Vivants',0.005228194
'SGNAME_Urban Younger Diverse',0.005223221
'LSNAME_Midlife Diverse Families',0.005165378
'SGNAME_Rural Downscale',0.005150392
'NAME_Country Acres',0.004891894
'SGNAME_Urban Young',0.004885391
'NAME_Single City Jazz',0.004684129
'SGNAME_Suburban Francophone',0.004368659
'SGNAME_Urban Francophone',0.00431762
'NAME_Home Sweet Rows',0.004289419
'NAME_Silver Linings',0.004279832
'SGNAME_Rural/Town Francophone',0.004278103
'NAME_Wide Open Spaces',0.004208253
'NAME_Urban Digerati',0.004160911
'NAME_Heartland Retirees',0.00402447
